acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
83.81,0.37,100.0,0.0,1,41407104.0,0.0,0.0042,0.0,6.1677,0.0,2.5762,0.03
83.59,0.37,99.9913,0.01,2,41403494.1488,3609.85,0.0043,0.0,6.1054,0.0,2.5775,0.03
84.23,0.36,99.1195,0.09,3,41042509.0288,36096.69,0.0043,0.0,6.0989,0.0,2.5023,0.03
83.34,0.37,98.0036,0.13,4,40580448.0752,54000.56,0.0042,0.0,6.0885,0.0,2.5463,0.03
83.21,0.37,96.9487,0.16,5,40143656.08,66345.08,0.0041,0.0,6.0811,0.0,2.502,0.03
82.31,0.38,95.5974,0.19,6,39584129.144,79050.42,0.0041,0.0,6.0753,0.0,2.4803,0.03
82.46,0.38,96.0508,0.18,7,39771841.4064,75074.7,0.0041,0.0,6.0725,0.0,2.5245,0.03
83.01,0.38,96.414,0.17,8,39922253.7536,71642.09,0.0042,0.0,6.0693,0.0,2.467,0.03
82.61,0.38,95.9584,0.18,9,39733589.3952,75577.25,0.004,0.0,6.0618,0.0,2.5152,0.03
82.74,0.38,97.4416,0.15,10,40347745.7888,60506.5,0.0042,0.0,6.0677,0.0,2.5486,0.03
83.1,0.37,97.6799,0.14,11,40446424.4576,57332.77,0.0042,0.0,6.0612,0.0,2.5248,0.03
82.91,0.38,96.4612,0.17,12,39941793.2112,69874.59,0.0041,0.0,6.0584,0.0,2.5044,0.03
82.65,0.38,96.613,0.16,13,40004633.9584,67498.67,0.0041,0.0,6.0562,0.0,2.5538,0.03
82.53,0.38,96.6566,0.16,14,40022683.2144,67051.76,0.0041,0.0,6.0638,0.0,2.5543,0.03
82.19,0.38,96.0518,0.17,15,39772248.6784,70479.02,0.0041,0.0,6.058,0.0,2.6137,0.03
81.82,0.39,95.0528,0.19,16,39358611.6336,78104.28,0.0041,0.0,6.0562,0.0,2.6135,0.03
81.42,0.39,95.2429,0.18,17,39437314.288,76263.54,0.004,0.0,6.0559,0.0,2.7111,0.03
82.05,0.38,95.9599,0.17,18,39734234.6912,71082.87,0.0041,0.0,6.0538,0.0,2.6469,0.03
81.76,0.39,94.9221,0.19,19,39304492.0736,78486.76,0.0041,0.0,6.0562,0.0,2.6657,0.03
81.12,0.39,93.6082,0.21,20,38760435.6208,87130.09,0.004,0.0,6.0533,0.0,2.6942,0.03
81.85,0.39,95.1726,0.19,21,39408203.096,76658.44,0.004,0.0,6.052,0.0,2.6683,0.03
81.08,0.39,94.0376,0.2,22,38938259.1424,84427.78,0.0041,0.0,6.0538,0.0,2.6882,0.03
80.32,0.4,92.6005,0.22,23,38343188.7248,93014.76,0.004,0.0,6.0508,0.0,2.7311,0.03
80.6,0.4,92.7795,0.22,24,38417301.224,92023.01,0.004,0.0,6.0507,0.0,2.7028,0.03
80.92,0.39,93.5111,0.21,25,38720251.2096,87716.56,0.0041,0.0,6.0521,0.0,2.7299,0.03
81.47,0.39,94.5624,0.2,26,39155547.3616,80905.07,0.0041,0.0,6.05,0.0,2.6499,0.03
79.19,0.41,91.1047,0.24,27,37723812.728,100853.86,0.0039,0.0,6.0506,0.0,2.8254,0.03
80.24,0.4,92.7237,0.22,28,38394202.6896,92302.09,0.0039,0.0,6.05,0.0,2.7915,0.03
80.58,0.4,93.5018,0.21,29,38716403.3344,87723.82,0.004,0.0,6.0462,0.0,2.7904,0.03
79.57,0.4,92.2187,0.23,30,38185097.552,95088.0,0.004,0.0,6.0491,0.0,2.8215,0.03
78.53,0.41,90.0279,0.26,31,37277930.688,105890.68,0.0039,0.0,6.0465,0.0,2.8777,0.03
79.67,0.4,91.569,0.24,32,37916075.6544,98502.5,0.004,0.0,6.0466,0.0,2.7933,0.03
80.36,0.4,92.8684,0.22,33,38454119.4496,91467.14,0.004,0.0,6.0471,0.0,2.7562,0.03
79.03,0.41,91.1762,0.24,34,37753411.2512,100475.89,0.004,0.0,6.0489,0.0,2.8867,0.03
79.89,0.4,92.0298,0.23,35,38106893.512,96100.87,0.004,0.0,6.0453,0.0,2.7981,0.03
78.34,0.41,90.4434,0.25,36,37449979.576,103989.05,0.0039,0.0,6.0455,0.0,2.9113,0.04
79.6,0.4,91.6294,0.24,37,37941100.9472,98192.99,0.0039,0.0,6.0453,0.0,2.8188,0.03
